"","uid","bankhard","c1d","c1dm100","c1t","c1t_msq","c1tm100","c1w","c1wm100","c2d","c2dm100","c2t","c2t_msq","c2tm100","c2w","c2wm100","c3d","c3dm100","c3t","c3t_msq","c3tm100","c3w","c3wm100","c4d","c4dm100","c4t","c4t_msq","c4tm100","c4w","c4wm100","c5d","c5dm100","c5t","c5t_msq","c5tm100","c5w","c5wm100","d16","d50","d84","dgm","lsub_d16","lsub_d25","lsub_d50","lsub_d75","lsub_d84","lsub_dmm","lsub_dmm_nor","lsub_iqr","lsub2d16","lsub2d16inor","lsub2d25","lsub2d50","lsub2d50inor","lsub2d75","lsub2d84","lsub2d84inor","lsub2dmm","lsub2dmm_nor","lsub2iqr","lsubd_sd","lsubd_sd_nor","lsubd2sd","lsubd2sd_nor","n","n_nor","pct_bdrk","pct_bh","pct_bigr","pct_bl","pct_ca","pct_cb","pct_dbbl","pct_dbcb","pct_dbfn","pct_dbgc","pct_dbgf","pct_dbhp","pct_dbom","pct_dbot","pct_dbrc","pct_dbrr","pct_dbrs","pct_dbsa","pct_dbsb","pct_dbwd","pct_dbxb","pct_dr","pct_dsbl","pct_dscb","pct_dsfn","pct_dsgc","pct_dsgf","pct_dshp","pct_dsom","pct_dsot","pct_dsrc","pct_dsrr","pct_dsrs","pct_dssa","pct_dssb","pct_dswd","pct_dsxb","pct_fa","pct_fast","pct_fn","pct_gc","pct_gf","pct_gl","pct_gr","pct_hp","pct_om","pct_org","pct_ot","pct_p","pct_pb","pct_pd","pct_pl","pct_pool","pct_pp","pct_pt","pct_ra","pct_rc","pct_ri","pct_rr","pct_rs","pct_sa","pct_safn","pct_sb","pct_sbbl","pct_sbcb","pct_sbfn","pct_sbgc","pct_sbgf","pct_sbhp","pct_sbom","pct_sbot","pct_sbrc","pct_sbrr","pct_sbrs","pct_sbsa","pct_sbsb","pct_sbwd","pct_sbxb","pct_sfgf","pct_slow","pct_ssbl","pct_sscb","pct_ssfn","pct_ssgc","pct_ssgf","pct_sshp","pct_ssom","pct_ssot","pct_ssrc","pct_ssrr","pct_ssrs","pct_sssa","pct_sssb","pct_sswd","pct_ssxb","pct_wd","pct_xb","sub_dmm_nor","sub2dmm_nor","subd_sd_nor","subd2sd_nor","v1d","v1dm100","v1t","v1t_msq","v1tm100","v1w","v1wm100","v2d","v2dm100","v2t","v2t_msq","v2tm100","v2w","v2wm100","v3d","v3dm100","v3t","v3t_msq","v3tm100","v3w","v3wm100","v4d","v4dm100","v4t","v4t_msq","v4tm100","v4w","v4wm100","v5d","v5dm100","v5t","v5t_msq","v5tm100","v5w","v5wm100","year"
"1","P0006",0.0555555555555556,2,2.8169014084507,12,0.160118606375092,16.9014084507042,10,14.0845070422535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279353626561627,0.0247874716450554,2.78948733270081,0.0591744570148734,-2.11092437480818,-2.11092437480818,-2.11092437480818,-0.460409376976188,0.752574989159953,-1.22786571846903,-1.22786571846903,1.65051499783199,-2.11092437480818,-2.55384568626738,-2.11092437480818,-2.11092437480818,-1.60576776958555,-0.460409376976188,0.752574989159953,0.445524393582692,-1.22786571846903,-1.22786571846903,1.65051499783199,1.29442177449031,1.29442177449031,1.29442177449031,1.29442177449031,90,69,0,NA,6.66666666666667,0,0,1.11111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6760563380282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19.0140845070423,48.8888888888889,5.55555555555556,6.66666666666667,26.056338028169,NA,23.3333333333333,0,0,0,0,0,12.6760563380282,19.0140845070423,42.2535211267606,9.15492957746479,1.40845070422535,0,0,19.0140845070423,0,0,14.4444444444444,63.3333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,68.3098591549296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4.71415052953384,4.71415052953384,17.055342784662,17.055342784662,0.116355283466289,0.163880680938435,0.698131700797732,0.00931532291650046,0.983284085630608,0.581776417331443,0.819403404692173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"2","P0012",0.0833333333333333,5,6.66666666666667,5,0.0412371134020618,6.66666666666667,0,0,1,1.33333333333333,1,0.00824742268041235,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00488426976085485,16,184.240778861736,1.55535418556572,-2.11092437480818,-2.11092437480818,1.50514997831991,2.10205999132796,2.10205999132796,0.365279538844398,0.218005823613287,4.21298436613614,-2.11092437480818,-2.31120035774613,-2.11092437480818,1.50514997831991,1.20411998265592,2.10205999132796,2.10205999132796,2.26538576090189,0.3401937058724,0.191829302251202,4.21298436613614,2.16018868692779,2.08367331924808,2.13037177574345,2.04943081291938,55,46,3.63636363636364,NA,45.4545454545455,7.27272727272727,1.33333333333333,27.2727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,62.6666666666667,34.5454545454545,7.27272727272727,3.63636363636364,14.6666666666667,NA,12.7272727272727,0,0,0,0,0,12,2.66666666666667,21.3333333333333,6.66666666666667,0,0,0,61.3333333333333,0,3.63636363636364,3.63636363636364,38.1818181818182,7.27272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.8181818181818,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,131.250441267178,87.7721803976129,276.95699777843,140.61596883865,0.567813783315488,0.757085044420651,0.567813783315488,0.0046830002747669,0.757085044420651,0,0,0.335103216382911,0.446804288510548,0.335103216382911,0.00276373786707555,0.446804288510548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
"3","P0014",0,3,4,5,0.040072859744991,6.66666666666667,2,2.66666666666667,3,4,5,0.040072859744991,6.66666666666667,2,2.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233523033788349,41.6704386269834,161.435658934722,8.30413456091818,-2.11092437480818,0.752574989159953,1.50514997831991,2.10205999132796,2.10205999132796,1.03582973440221,0.928235862926654,1.34948500216801,-2.11092437480818,-1.63167027589525,0.752574989159953,1.50514997831991,1.61982807190618,2.10205999132796,2.10205999132796,2.20799947070872,1.02722887738324,0.919294377906932,1.34948500216801,1.7025990284802,1.64556275878258,1.69330174685292,1.63496019102391,105,101,3.80952380952381,NA,65.7142857142857,2.85714285714286,0,39.0476190476191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3503649635037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,20,14.2857142857143,0,NA,0,0,0,0,0,0,2.91970802919708,0,3.64963503649635,0.72992700729927,0,0,0,0,0,3.80952380952381,0,20,2.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2857142857143,3.64963503649635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,88.5460479378126,73.6945627892977,169.885353639272,93.7797555021722,1.60104870049613,2.13473160066151,2.27125513326195,0.0182031376800594,3.0283401776826,0.670206432765822,0.893608577021096,1.60104870049613,2.13473160066151,2.27125513326195,0.0182031376800594,3.0283401776826,0.670206432765822,0.893608577021096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"4","P0016",0.0909090909090909,2,1.33333333333333,33,0.0376360808709175,22,31,20.6666666666667,1,0.666666666666667,9,0.0102643856920684,6,8,5.33333333333333,0,0,2,0.00228097459823743,1.33333333333333,2,1.33333333333333,0,0,1,0.00114048729911871,0.666666666666667,1,0.666666666666667,0,0,1,0.00114048729911871,0.666666666666667,1,0.666666666666667,0.00195294077917717,0.00809847705704906,0.0335828568601977,0.00921207291896225,-2.11092437480818,-2.11092437480818,-2.11092437480818,-2.11092437480818,-2.11092437480818,-2.03564263299856,-2.03564263299856,0,-2.11092437480818,-2.70931092602424,-2.11092437480818,-2.11092437480818,-2.09159664382575,-2.11092437480818,-2.11092437480818,-1.47388236162726,-2.03564263299856,-2.03564263299856,0,0.522773166291303,0.522773166291303,0.522773166291303,0.522773166291303,94,94,0,NA,0.952380952380952,0,0,0.952380952380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.33333333333333,87.6190476190476,0,0.952380952380952,32.6666666666667,NA,0,0,10.4761904761905,0,0,0.666666666666667,47.3333333333333,4,62,1.33333333333333,8.66666666666667,0,0,5.33333333333333,0,0,0,87.6190476190476,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.5714285714286,94.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4761904761905,0,1.41341052757372,1.41341052757372,13.0525072629419,13.0525072629419,0.989019909463453,0.659346606308969,27.0869282145346,0.0308922976008171,18.0579521430231,26.0979083050712,17.3986055367141,0.930842267730309,0.620561511820206,25.6906648129392,0.0292998769250732,17.1271098752928,24.7598225452089,16.5065483634726,0,0,23.0557994188451,0.0262948464082214,15.3705329458967,23.0557994188451,15.3705329458967,0,0,22.6194671058465,0.0257972149470515,15.079644737231,22.6194671058465,15.079644737231,0,0,22.6194671058465,0.0257972149470515,15.079644737231,22.6194671058465,15.079644737231,2010
"5","P0017",0.954545454545455,0,0,2,0.000909090909090909,0.909090909090909,2,0.909090909090909,0,0,1,0.000454545454545455,0.454545454545455,1,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-2.11092437480818,-2.11092437480818,-2.11092437480818,-2.11092437480818,-2.11092437480818,-2.11092437480818,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,100,NA,NA,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,100,NA,NA,0,NA,0,NA,NA,0,100,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,0,0,3.56047167406843,0.00161839621548565,1.61839621548565,3.56047167406843,1.61839621548565,0,0,2.51327412287183,0.0011423973285781,1.1423973285781,2.51327412287183,1.1423973285781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
"6","P0058",0.0454545454545455,3,2,24,0.0401826484018265,16,21,14,0,0,12,0.0200913242009133,8,12,8,0,0,4,0.00669710806697108,2.66666666666667,4,2.66666666666667,0,0,1,0.00167427701674277,0.666666666666667,1,0.666666666666667,0,0,0,0,0,0,0,0.16587696725475,25.3984168314912,98.9790281079528,7.18855975357871,-0.460409376976188,-0.460409376976188,1.50514997831991,1.50514997831991,2.10205999132796,0.859536406271746,0.859536406271746,1.96555935529609,-0.460409376976188,-0.780213913485058,-0.460409376976188,1.50514997831991,1.40480664643191,1.50514997831991,2.10205999132796,1.9955431850841,0.856641887082669,0.856641887082669,1.96555935529609,1.36342996128244,1.36342996128244,1.35915454138463,1.35915454138463,104,104,0,NA,62.8571428571429,0.952380952380952,0,21.9047619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,70,11.4285714285714,40,9.52380952380952,6.66666666666667,NA,0,0,0.952380952380952,0,0,0,0,17.3333333333333,23.3333333333333,6,0,1.33333333333333,0,68.6666666666667,0,0,15.2380952380952,26.6666666666667,0.952380952380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1904761904762,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.952380952380952,0,51.1105721541766,46.3028798464842,105.188305479027,65.2373132987982,0.174532925199433,0.116355283466289,16.0663375410251,0.02689949968817,10.7108916940168,15.8918046158257,10.5945364105505,0,0,15.3682058402274,0.0257306338268648,10.2454705601516,15.3682058402274,10.2454705601516,0,0,12.0916410578167,0.0202447567178058,8.06109403854448,12.0916410578167,8.06109403854448,0,0,6.98131700797732,0.0116886586130518,4.65421133865155,6.98131700797732,4.65421133865155,0,0,0,0,0,0,0,2010
"7","P0060",0,5,3.33333333333333,19,0.0633333333333333,12.6666666666667,14,9.33333333333333,4,2.66666666666667,7,0.0233333333333333,4.66666666666667,3,2,1,0.666666666666667,3,0.01,2,2,1.33333333333333,1,0.666666666666667,2,0.00666666666666667,1.33333333333333,1,0.666666666666667,0,0,0,0,0,0,0,0.181942730456649,29.9866821457648,141.829912264366,9.20602550625869,-0.460409376976188,0.752574989159953,1.50514997831991,2.10205999132796,2.10205999132796,0.975762659086513,0.975762659086513,1.34948500216801,-0.460409376976188,-0.740065292018577,0.752574989159953,1.50514997831991,1.47692841622641,2.10205999132796,2.10205999132796,2.15176783424177,0.964072173818009,0.964072173818009,1.34948500216801,1.43694216249751,1.43694216249751,1.42141683533044,1.42141683533044,103,103,0,NA,62.8571428571429,3.80952380952381,0.666666666666667,28.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,76.6666666666667,12.3809523809524,30.4761904761905,12.3809523809524,0.666666666666667,NA,0,0,0,1.9047619047619,0,0,18,4.66666666666667,22.6666666666667,0,0,0,0,76,0,0,10.4761904761905,22.8571428571429,3.80952380952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2380952380952,23.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,86.3707136581467,66.9532379299913,191.608659656961,101.530614799572,3.81907129157226,2.54604752771484,8.20130215512136,0.0273376738504045,5.4675347700809,4.38223086354909,2.92148724236606,3.76089364983912,2.50726243322608,7.50317045432362,0.0250105681810787,5.00211363621575,3.74227680448451,2.49485120298967,2.90888208665722,1.93925472443815,6.46935376072565,0.0215645125357522,4.31290250715043,3.56047167406843,2.37364778271229,2.90888208665722,1.93925472443815,5.42215620952905,0.0180738540317635,3.6147708063527,2.51327412287183,1.67551608191455,0,0,0,0,0,0,0,2010
"8","P0078",0,8,10.6666666666667,23,0.227927927927927,30.6666666666667,15,20,8,10.6666666666667,12,0.118918918918919,16,4,5.33333333333333,6,8,7,0.0693693693693691,9.33333333333333,1,1.33333333333333,4,5.33333333333333,4,0.0396396396396395,5.33333333333333,0,0,0,0,0,0,0,0,0,0.00380529708238945,0.107637691424833,37.8161407029381,0.393376864213884,-2.11092437480818,-2.11092437480818,-0.460409376976188,1.50514997831991,1.50514997831991,-0.405191185951277,-0.405191185951277,3.61607435312808,-2.11092437480818,-2.41961143187478,-2.11092437480818,-0.460409376976188,-0.968035625402967,1.50514997831991,1.50514997831991,1.5776772051822,-0.405191185951277,-0.405191185951277,3.61607435312808,1.74185570802895,1.74185570802895,1.74185570802895,1.74185570802895,104,102,0,NA,40.9523809523809,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26,47.6190476190476,40.9523809523809,2.85714285714286,33.3333333333333,NA,1.9047619047619,0,0.952380952380952,0,0,0,28,10,40.6666666666667,0,2.66666666666667,0,0,26,0,0,5.71428571428571,53.3333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1904761904762,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.952380952380952,0,13.6807482554135,13.6807482554135,15.7449064438687,15.7449064438687,26.5615841096844,35.4154454795792,32.4142548680387,0.321222345539121,43.2190064907183,5.85267075835432,7.80356101113909,26.5615841096844,35.4154454795792,31.7743008089741,0.31488045846731,42.3657344119655,5.21271669928973,6.9502889323863,25.8913776769186,34.5218369025581,28.9073066243648,0.286468804385596,38.543075499153,3.0159289474462,4.02123859659493,21.8282511782757,29.1043349043677,21.8282511782757,0.216316002667597,29.1043349043677,0,0,0,0,0,0,0,0,0,2011
"9","P0080",0.0454545454545455,0,0,6,0.00272727272727273,2.72727272727273,6,2.72727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,-2.11092437480818,-2.11092437480818,-2.11092437480818,-2.11092437480818,-2.11092437480818,-2.0297636312769,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.420775363101463,NA,NA,NA,100,NA,NA,0,NA,0,0,0,0,0.0909090909090909,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818181818181818,0,0,0,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0,96,NA,NA,0,1,NA,NA,NA,0,NA,NA,NA,NA,100,NA,NA,0,NA,0,NA,NA,3,99,NA,0,0.0909090909090909,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,NA,100,0,0.0909090909090909,0.636363636363636,0,0,0,0,0,0,0,0,0,0,0.272727272727273,0,NA,NA,NA,NA,NA,NA,0,0,6.2831853071796,0.00285599332144527,2.85599332144527,6.2831853071796,2.85599332144527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
"10","P0089",0,1,1.33333333333333,1,0.0244444444444445,1.33333333333333,0,0,1,1.33333333333333,1,0.0244444444444445,1.33333333333333,0,0,1,1.33333333333333,1,0.0244444444444445,1.33333333333333,0,0,1,1.33333333333333,1,0.0244444444444445,1.33333333333333,0,0,0,0,0,0,0,0,0,0.00193810802521538,0.00790780929054141,0.0322652024355679,0.00841853203247062,-2.11092437480818,-2.11092437480818,-2.11092437480818,-2.11092437480818,-2.11092437480818,-2.0747636312769,-2.0747636312769,0,-2.11092437480818,-2.71262202014002,-2.11092437480818,-2.11092437480818,-2.10194381293755,-2.11092437480818,-2.11092437480818,-1.49126560573509,-2.0747636312769,-2.0747636312769,0,0.361607435312808,0.361607435312808,0.361607435312808,0.361607435312808,103,100,0,NA,0.952380952380952,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,94.2857142857143,0.952380952380952,0,0,NA,2.85714285714286,0,1.9047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.2857142857143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.2857142857143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9047619047619,0,0.327668507025491,0.327668507025491,3.19922540333076,3.19922540333076,6.98131700797732,9.30842267730309,6.98131700797732,0.170654415750557,9.30842267730309,0,0,6.98131700797732,9.30842267730309,6.98131700797732,0.170654415750557,9.30842267730309,0,0,6.98131700797732,9.30842267730309,6.98131700797732,0.170654415750557,9.30842267730309,0,0,6.98131700797732,9.30842267730309,6.98131700797732,0.170654415750557,9.30842267730309,0,0,0,0,0,0,0,0,0,2011
