"","uid","metric","result"
"1","P0006","pcan_c",0
"2","P0006","pcan_d",0.111111111111111
"3","P0006","pcan_e",0
"4","P0006","pcan_m",0.888888888888889
"5","P0006","pcan_n",0
"6","P0006","pmid_c",0
"7","P0006","pmid_d",0.111111111111111
"8","P0006","pmid_e",0
"9","P0006","pmid_m",0.888888888888889
"10","P0006","pmid_n",0
"11","P0006","xc",0.744444444444444
"12","P0006","xcl",0.536111111111111
"13","P0006","xcm",1.42083333333333
"14","P0006","xcmg",1.93472222222222
"15","P0006","xcmgw",1.50694444444444
"16","P0006","xcmw",1.33194444444444
"17","P0006","xcs",0.208333333333333
"18","P0006","xg",0.513888888888889
"19","P0006","xgb",0.390277777777778
"20","P0006","xgh",0.338888888888889
"21","P0006","xgw",0.175
"22","P0006","xm",0.676388888888889
"23","P0006","xmh",0.0888888888888889
"24","P0006","xmw",0.5875
"25","P0006","xpcan",1
"26","P0006","xpcm",1
"27","P0006","xpcmg",1
"28","P0006","xpgveg",1
"29","P0006","xpmg",1
"30","P0006","xpmgw",1
"31","P0006","xpmid",1
"32","P0012","pcan_c",0
"33","P0012","pcan_d",0.916666666666667
"34","P0012","pcan_e",0
"35","P0012","pcan_m",0.0833333333333333
"36","P0012","pcan_n",0
"37","P0012","pmid_c",0
"38","P0012","pmid_d",0.75
"39","P0012","pmid_e",0
"40","P0012","pmid_m",0.25
"41","P0012","pmid_n",0
"42","P0012","xc",0.502083333333333
"43","P0012","xcl",0.341666666666667
"44","P0012","xcm",0.722916666666667
"45","P0012","xcmg",0.922916666666667
"46","P0012","xcmgw",0.697916666666667
"47","P0012","xcmw",0.647916666666667
"48","P0012","xcs",0.160416666666667
"49","P0012","xg",0.2
"50","P0012","xgb",0.775
"51","P0012","xgh",0.15
"52","P0012","xgw",0.05
"53","P0012","xm",0.220833333333333
"54","P0012","xmh",0.075
"55","P0012","xmw",0.145833333333333
"56","P0012","xpcan",1
"57","P0012","xpcm",1
"58","P0012","xpcmg",1
"59","P0012","xpgveg",1
"60","P0012","xpmg",1
"61","P0012","xpmgw",0.916666666666667
"62","P0012","xpmid",1
"63","P0014","pcan_c",0
"64","P0014","pcan_d",0.409090909090909
"65","P0014","pcan_e",0
"66","P0014","pcan_m",0.590909090909091
"67","P0014","pcan_n",0
"68","P0014","pmid_c",0
"69","P0014","pmid_d",0.909090909090909
"70","P0014","pmid_e",0
"71","P0014","pmid_m",0.0909090909090909
"72","P0014","pmid_n",0
"73","P0014","xc",0.682954545454545
"74","P0014","xcl",0.584090909090909
"75","P0014","xcm",1.62840909090909
"76","P0014","xcmg",2.36704545454545
"77","P0014","xcmgw",1.48977272727273
"78","P0014","xcmw",1.37954545454545
"79","P0014","xcs",0.0988636363636364
"80","P0014","xg",0.738636363636364
"81","P0014","xgb",0.239772727272727
"82","P0014","xgh",0.628409090909091
"83","P0014","xgw",0.110227272727273
"84","P0014","xm",0.945454545454545
"85","P0014","xmh",0.248863636363636
"86","P0014","xmw",0.696590909090909
"87","P0014","xpcan",1
"88","P0014","xpcm",1
"89","P0014","xpcmg",1
"90","P0014","xpgveg",1
"91","P0014","xpmg",1
"92","P0014","xpmgw",1
"93","P0014","xpmid",1
"94","P0016","pcan_c",0.0454545454545455
"95","P0016","pcan_d",0.818181818181818
