"","uid","metric","result"
"1","P0006","w1_hag",0
"2","P0006","w1_hall",3.04641111111111
"3","P0006","w1_hnoag",3.04641111111111
"4","P0006","w1h_bldg",0.685216666666667
"5","P0006","w1h_crop",0
"6","P0006","w1h_ldfl",0.0555555555555556
"7","P0006","w1h_log",0
"8","P0006","w1h_mine",0
"9","P0006","w1h_park",0.768544444444444
"10","P0006","w1h_pipe",0.0833333333333333
"11","P0006","w1h_pstr",0
"12","P0006","w1h_pvmt",0.768544444444444
"13","P0006","w1h_road",0.685216666666667
"14","P0006","w1h_wall",0
"15","P0006","x_hag",0
"16","P0006","x_hall",4.11111111111111
"17","P0006","x_hnoag",4.11111111111111
"18","P0006","xb_hag",0
"19","P0006","xb_hall",0.166666666666667
"20","P0006","xb_hnoag",0.166666666666667
"21","P0006","xc_hag",0
"22","P0006","xc_hall",0.5
"23","P0006","xc_hnoag",0.5
"24","P0006","xcb_hag",0
"25","P0006","xcb_hall",0.666666666666667
"26","P0006","xcb_hnag",0.666666666666667
"27","P0006","xf_hag",0
"28","P0006","xf_hall",3.44444444444444
"29","P0006","xf_hnoag",3.44444444444444
"30","P0012","w1_hag",0
"31","P0012","w1_hall",2.18060833333333
"32","P0012","w1_hnoag",2.18060833333333
"33","P0012","w1h_bldg",0.33335
"34","P0012","w1h_crop",0
"35","P0012","w1h_ldfl",0.5
"36","P0012","w1h_log",0
"37","P0012","w1h_mine",0
"38","P0012","w1h_park",0
"39","P0012","w1h_pipe",0.5
"40","P0012","w1h_pstr",0
"41","P0012","w1h_pvmt",0.33335
"42","P0012","w1h_road",0.388908333333333
"43","P0012","w1h_wall",0.125
"44","P0012","x_hag",0
"45","P0012","x_hall",2.33333333333333
"46","P0012","x_hnoag",2.33333333333333
"47","P0012","xb_hag",0
"48","P0012","xb_hall",0.75
"49","P0012","xb_hnoag",0.75
"50","P0012","xc_hag",0
"51","P0012","xc_hall",0
"52","P0012","xc_hnoag",0
"53","P0012","xcb_hag",0
"54","P0012","xcb_hall",0.75
"55","P0012","xcb_hnag",0.75
"56","P0012","xf_hag",0
"57","P0012","xf_hall",1.58333333333333
"58","P0012","xf_hnoag",1.58333333333333
"59","P0014","w1_hag",0
"60","P0014","w1_hall",0.0681818181818182
"61","P0014","w1_hnoag",0.0681818181818182
"62","P0014","w1h_bldg",0
"63","P0014","w1h_crop",0
"64","P0014","w1h_ldfl",0.0681818181818182
"65","P0014","w1h_log",0
"66","P0014","w1h_mine",0
"67","P0014","w1h_park",0
"68","P0014","w1h_pipe",0
"69","P0014","w1h_pstr",0
"70","P0014","w1h_pvmt",0
"71","P0014","w1h_road",0
"72","P0014","w1h_wall",0
"73","P0014","x_hag",0
"74","P0014","x_hall",0.0454545454545455
"75","P0014","x_hnoag",0.0454545454545455
"76","P0014","xb_hag",0
"77","P0014","xb_hall",0.0454545454545455
